2026-07-12 21:59:25.024 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE226A01021/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:25.051 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE669C01036/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:28.758 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE245A01021/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:28.773 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE081A01020/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:28.832 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE280A01028/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:28.865 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE481G01011/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:28.896 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE01EA01019/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:28.920 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE377N01017/day/2026-07-12/2026-06-12: Event loop is closed
2026-07-12 21:59:34.037 | INFO     | news:fetch_news:156 - Fetched 84 unique news items
2026-07-12 22:00:20.587 | ERROR    | api.upstox_client:get:54 - Request failed for /market-quote/quotes: Event loop is closed
2026-07-12 22:00:45.646 | ERROR    | api.upstox_client:get:54 - Request failed for /market-quote/quotes: Event loop is closed
2026-07-13 22:59:09.930 | ERROR    | api.upstox_client:get:54 - Request failed for /market-quote/quotes: Event loop is closed
2026-07-13 22:59:15.121 | INFO     | services.instruments:fetch_index_constituents:77 - Fetched 200 constituents for NIFTY 200
2026-07-13 22:59:20.702 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-13/2026-06-13: Event loop is closed
2026-07-13 22:59:20.751 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE066A01021/day/2026-07-13/2026-06-13: Event loop is closed
2026-07-13 22:59:20.758 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE361B01024/day/2026-07-13/2026-06-13: Event loop is closed
2026-07-13 22:59:20.786 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE758T01015/day/2026-07-13/2026-06-13: Event loop is closed
2026-07-13 22:59:20.809 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE484J01027/day/2026-07-13/2026-06-13: Event loop is closed
2026-07-13 22:59:20.878 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE047A01021/day/2026-07-13/2026-06-13: Event loop is closed
2026-07-13 22:59:20.967 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE089A01031/day/2026-07-13/2026-06-13: Event loop is closed
2026-07-13 22:59:20.993 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE795G01014/day/2026-07-13/2026-06-13: Event loop is closed
2026-07-13 22:59:21.034 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE302A01020/day/2026-07-13/2026-06-13: Event loop is closed
2026-07-13 22:59:21.130 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE061F01013/day/2026-07-13/2026-06-13: Event loop is closed
2026-07-13 22:59:21.200 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE776C01039/day/2026-07-13/2026-06-13: Event loop is closed
2026-07-13 22:59:21.291 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE388Y01029/day/2026-07-13/2026-06-13: Event loop is closed
2026-07-13 22:59:26.157 | INFO     | news:fetch_news:156 - Fetched 84 unique news items
2026-07-13 23:00:06.876 | INFO     | scanner:run_scan:98 - Starting Nifty 200 strategy scan...
2026-07-13 23:00:06.883 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_INDEX|Nifty 50/day/2026-07-13/2025-06-08: Event loop is closed
2026-07-13 23:00:26.571 | INFO     | scanner:run_scan:118 - Scan complete: 200 stocks processed
2026-07-13 23:00:42.356 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-13/2026-06-13: Event loop is closed
2026-07-22 09:25:15.854 | ERROR    | api.upstox_client:get:54 - Request failed for /market-quote/quotes: Event loop is closed
2026-07-22 09:25:36.817 | ERROR    | api.upstox_client:get:54 - Request failed for /market-quote/quotes: Event loop is closed
2026-07-22 09:25:49.449 | INFO     | services.instruments:fetch_index_constituents:77 - Fetched 200 constituents for NIFTY 200
2026-07-22 09:25:54.783 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:54.820 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE361B01024/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:54.851 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE089A01031/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:54.880 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE484J01027/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:25:54.912 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE171A01029/day/2026-07-22/2026-06-22: Event loop is closed
